Artist,Net Worth,Year
2_live_crew,,1997
2pac,0.2,1991
50_cent,30,2003
beastie_boys,,
big_daddy_kane,0.4,1989
big_pun,5,1998
busta_rhymes,20,1993
chuck_d,14,1985
common,45,1992
dmx,,1999
dr_dre,820,1992
drake,180,2010
dres,,1993
eminem,230,1999
ghostface_killah,17,2000
grand_puba,,1987
grandmaster_caz,3,1998
grandmaster_melle_mel,1.5,1979
gucci_mane,12,2017
ice_cube,160,2001
jadakiss,6,2004
jayz,1000,2009
jimmy_spicer,,1983
kanye_west,3200,2016
killer_mike,,2012
kool_g_rap,1.5,1986
kool_moe_dee,0.5,1970
korn,,2006
krsone,6,2009
kurtis_blow,5,1979
lauryn_hill,9,1996
lil_boosie,0.8,2006
lil_wayne,150,2010
ll_cool_j,120,1986
ludacris,25,2000
method_man,14,1994
nas,70,1994
nicki_minaj,80,2010
notorious_big,10,1995
nwa,,1988
prodigy,,1995
raekwon,13,2007
redman,10,1992
rick_ross,40,2006
roxanne_shante,,1984
run_dmc,60,1984
scarface,,1988
schoolly_d,,1990
slick_rick,1,1985
spoonie_gee,,1979
ti,50,2003
too_short,15,1994
twista,7,1992