Kurtis Blow,5
Grandmaster Melle Mel,1.5
Run DMC,60
LL Cool J ,120
Slick Rick,1
Ice Cube,160
NWA,
Redman ,10
Nas,70
Notorious BIG ,10
2Pac,0.2
DMX,-1
Jay Z,1 billion
Eminem,230
50 Cent,30
T.I.,50
Too $hort ,15
Lil Wayne,150
Kanye West ,3.2 billion
Drake ,180
Nicki Minaj,80
Grandmaster Caz,3
Kool Moe Dee,0.5
Spoonie Gee,
Jimmy Spicer,
Roxanne Shante ,0.5
Beastie Boys ,
Krs One,6
Schoolly D,
Chuck D,14
Big Daddy Kane,0.4
Kool G Rap,1.5
Grand Puba,
Scarface,
Dr Dre,820
Dres,
Method Man,14
Raekwon,13
Prodigy,
Busta Rhymes,20
Twista,7
Big Pun,5
Lauryn Hill,9
Ghostface Killah,17
Ludacris,25
Jadakiss,6
Common,45
Gucci Mane,12
Rick Ross,40
Youngboy NBA,6
 Snoop Dog,150
J Cole,60
Future ,40